id,date,NO2_pred
12,2024-05-01,8.8444496e-05
12,2024-05-02,8.881055e-05
12,2024-05-03,8.884545e-05
12,2024-05-04,8.867229e-05
12,2024-05-05,8.809717e-05
12,2024-05-06,8.83751e-05
12,2024-05-07,8.8307694e-05
12,2024-05-08,8.8192966e-05
12,2024-05-09,8.7907654e-05
12,2024-05-10,8.7873406e-05
12,2024-05-11,8.763928e-05
12,2024-05-12,8.741938e-05
12,2024-05-13,8.749717e-05
12,2024-05-14,8.789032e-05
12,2024-05-15,8.777293e-05
13,2024-04-30,8.872823e-05
13,2024-05-01,8.8746594e-05
13,2024-05-02,8.890243e-05
13,2024-05-03,8.892405e-05
13,2024-05-04,8.911221e-05
13,2024-05-05,8.891276e-05
13,2024-05-06,8.901186e-05
13,2024-05-07,8.89788e-05
13,2024-05-08,8.8985806e-05
13,2024-05-09,8.881949e-05
13,2024-05-10,8.882059e-05
13,2024-05-11,8.8763474e-05
13,2024-05-12,8.870704e-05
13,2024-05-13,8.87422e-05
13,2024-05-14,8.888767e-05
13,2024-05-15,8.8848145e-05
14,2024-04-30,8.568525e-05
14,2024-05-01,8.567456e-05
14,2024-05-02,8.582804e-05
14,2024-05-03,8.5843385e-05
14,2024-05-04,8.618274e-05
14,2024-05-05,8.590919e-05
14,2024-05-06,8.6076376e-05
14,2024-05-07,8.5955304e-05
14,2024-05-08,8.594786e-05
14,2024-05-09,8.55691e-05
14,2024-05-10,8.5528925e-05
14,2024-05-11,8.552326e-05
14,2024-05-12,8.547328e-05
14,2024-05-13,8.5637315e-05
14,2024-05-14,8.563391e-05
14,2024-05-15,8.550955e-05
15,2024-04-30,8.6977154e-05
15,2024-05-01,8.727352e-05
15,2024-05-02,8.768825e-05
15,2024-05-03,8.804999e-05
15,2024-05-04,8.856356e-05
15,2024-05-05,8.860616e-05
15,2024-05-06,8.9013e-05
15,2024-05-07,8.917049e-05
15,2024-05-08,8.941831e-05
15,2024-05-09,8.9366054e-05
15,2024-05-10,8.9581285e-05
15,2024-05-11,8.991503e-05
15,2024-05-12,9.009029e-05
15,2024-05-13,9.06074e-05
15,2024-05-14,9.058164e-05
15,2024-05-15,9.067877e-05
16,2024-04-30,7.9325175e-05
16,2024-05-01,7.924104e-05
16,2024-05-02,7.9199424e-05
16,2024-05-03,7.915283e-05
16,2024-05-04,7.915341e-05
16,2024-05-05,7.877395e-05
16,2024-05-06,7.8780045e-05
16,2024-05-07,7.858029e-05
16,2024-05-08,7.8435885e-05
16,2024-05-09,7.8345896e-05
16,2024-05-10,7.814909e-05
16,2024-05-11,7.8121746e-05
16,2024-05-12,7.7947974e-05
16,2024-05-13,7.81857e-05
16,2024-05-14,7.779923e-05
16,2024-05-15,7.756729e-05
17,2024-04-30,9.050824e-05
17,2024-05-01,9.0297246e-05
17,2024-05-02,8.992228e-05
17,2024-05-03,8.9495195e-05
17,2024-05-04,8.900966e-05
17,2024-05-05,8.844824e-05
17,2024-05-06,8.824289e-05
17,2024-05-07,8.777549e-05
17,2024-05-08,8.730487e-05
17,2024-05-09,8.672617e-05
17,2024-05-10,8.6262546e-05
17,2024-05-11,8.589638e-05
17,2024-05-12,8.555672e-05
17,2024-05-13,8.525401e-05
17,2024-05-14,8.492568e-05
17,2024-05-15,8.44746e-05
18,2024-04-30,9.21209e-05
18,2024-05-01,9.210813e-05
18,2024-05-02,9.217245e-05
18,2024-05-03,9.202382e-05
18,2024-05-04,9.170402e-05
18,2024-05-05,9.117358e-05
18,2024-05-06,9.1224545e-05
18,2024-05-07,9.0985995e-05
18,2024-05-08,9.0615e-05
18,2024-05-09,9.007809e-05
18,2024-05-10,8.984963e-05
18,2024-05-11,8.9529545e-05
18,2024-05-12,8.931996e-05
18,2024-05-13,8.925653e-05
18,2024-05-14,8.911623e-05
18,2024-05-15,8.871812e-05
19,2024-04-30,9.2267306e-05
19,2024-05-01,9.214723e-05
19,2024-05-02,9.211025e-05
19,2024-05-03,9.194149e-05
19,2024-05-04,9.1646914e-05
19,2024-05-05,9.1234455e-05
19,2024-05-06,9.115376e-05
19,2024-05-07,9.094559e-05
19,2024-05-08,9.067399e-05
19,2024-05-09,9.032787e-05
19,2024-05-10,9.015968e-05
19,2024-05-11,8.9880305e-05
19,2024-05-12,8.969092e-05
19,2024-05-13,8.959477e-05
19,2024-05-14,8.955778e-05
19,2024-05-15,8.932152e-05
20,2024-04-30,9.100196e-05
20,2024-05-01,9.113833e-05
20,2024-05-02,9.1344795e-05
20,2024-05-03,9.142741e-05
20,2024-05-04,9.1582326e-05
20,2024-05-05,9.145966e-05
20,2024-05-06,9.157134e-05
20,2024-05-07,9.157216e-05
20,2024-05-08,9.158977e-05
20,2024-05-09,9.149491e-05
20,2024-05-10,9.152431e-05
20,2024-05-11,9.147311e-05
20,2024-05-12,9.14725e-05
20,2024-05-13,9.153147e-05
20,2024-05-14,9.1658985e-05
20,2024-05-15,9.1601214e-05
21,2024-04-30,9.204438e-05
21,2024-05-01,9.2376766e-05
21,2024-05-02,9.290074e-05
21,2024-05-03,9.330572e-05
21,2024-05-04,9.4126255e-05
21,2024-05-05,9.41318e-05
21,2024-05-06,9.473315e-05
21,2024-05-07,9.499768e-05
21,2024-05-08,9.539817e-05
21,2024-05-09,9.535351e-05
21,2024-05-10,9.571565e-05
21,2024-05-11,9.5901065e-05
21,2024-05-12,9.619781e-05
21,2024-05-13,9.660855e-05
21,2024-05-14,9.723337e-05
21,2024-05-15,9.739164e-05
22,2024-04-30,8.5993204e-05
22,2024-05-01,8.610142e-05
22,2024-05-02,8.6384294e-05
22,2024-05-03,8.657578e-05
22,2024-05-04,8.704659e-05
22,2024-05-05,8.6879874e-05
22,2024-05-06,8.7193686e-05
22,2024-05-07,8.717777e-05
22,2024-05-08,8.7289816e-05
22,2024-05-09,8.7025765e-05
22,2024-05-10,8.710712e-05
22,2024-05-11,8.723455e-05
22,2024-05-12,8.72918e-05
22,2024-05-13,8.7788285e-05
22,2024-05-14,8.760805e-05
22,2024-05-15,8.761261e-05
23,2024-04-30,8.522625e-05
23,2024-05-01,8.531461e-05
23,2024-05-02,8.569741e-05
23,2024-05-03,8.609088e-05
23,2024-05-04,8.67062e-05
23,2024-05-05,8.645823e-05
23,2024-05-06,8.702389e-05
23,2024-05-07,8.717851e-05
23,2024-05-08,8.743846e-05
23,2024-05-09,8.741111e-05
23,2024-05-10,8.7540175e-05
23,2024-05-11,8.7777065e-05
23,2024-05-12,8.7918204e-05
23,2024-05-13,8.8935354e-05
23,2024-05-14,8.870586e-05
23,2024-05-15,8.8735396e-05
24,2024-04-30,7.826238e-05
24,2024-05-01,7.813133e-05
24,2024-05-02,7.802795e-05
24,2024-05-03,7.7932586e-05
24,2024-05-04,7.784834e-05
24,2024-05-05,7.760254e-05
24,2024-05-06,7.757708e-05
24,2024-05-07,7.7454446e-05
24,2024-05-08,7.731452e-05
24,2024-05-09,7.722812e-05
24,2024-05-10,7.706817e-05
24,2024-05-11,7.6960554e-05
24,2024-05-12,7.686479e-05
24,2024-05-13,7.6979486e-05
24,2024-05-14,7.668957e-05
24,2024-05-15,7.655292e-05
25,2024-04-30,9.278944e-05
25,2024-05-01,9.23646e-05
25,2024-05-02,9.209824e-05
25,2024-05-03,9.174897e-05
25,2024-05-04,9.1427355e-05
25,2024-05-05,9.09411e-05
25,2024-05-06,9.063765e-05
25,2024-05-07,9.0278394e-05
25,2024-05-08,8.9878624e-05
25,2024-05-09,8.940795e-05
25,2024-05-10,8.911167e-05
25,2024-05-11,8.876527e-05
25,2024-05-12,8.8509405e-05
25,2024-05-13,8.8295594e-05
25,2024-05-14,8.806938e-05
25,2024-05-15,8.777494e-05
26,2024-04-30,9.116189e-05
26,2024-05-01,9.129224e-05
26,2024-05-02,9.1595364e-05
26,2024-05-03,9.163624e-05
26,2024-05-04,9.182859e-05
26,2024-05-05,9.1456124e-05
26,2024-05-06,9.1533904e-05
26,2024-05-07,9.1437876e-05
26,2024-05-08,9.130552e-05
26,2024-05-09,9.0865615e-05
26,2024-05-10,9.07896e-05
26,2024-05-11,9.0517446e-05
26,2024-05-12,9.0462585e-05
26,2024-05-13,9.048521e-05
26,2024-05-14,9.031614e-05
26,2024-05-15,9.0065405e-05
27,2024-04-30,9.674516e-05
27,2024-05-01,9.726715e-05
27,2024-05-02,9.7976575e-05
27,2024-05-03,9.853052e-05
27,2024-05-04,9.943963e-05
27,2024-05-05,9.959871e-05
27,2024-05-06,0.0001000901
27,2024-05-07,0.000100487436
27,2024-05-08,0.00010096602
27,2024-05-09,0.00010113041
27,2024-05-10,0.000101607
27,2024-05-11,0.00010178446
27,2024-05-12,0.00010221979
27,2024-05-13,0.000102669255
27,2024-05-14,0.0001029498
27,2024-05-15,0.0001031029
28,2024-04-30,9.1832524e-05
28,2024-05-01,9.1996975e-05
28,2024-05-02,9.2537295e-05
28,2024-05-03,9.295371e-05
28,2024-05-04,9.40185e-05
28,2024-05-05,9.4069765e-05
28,2024-05-06,9.455258e-05
28,2024-05-07,9.487878e-05
28,2024-05-08,9.542525e-05
