id,lat,long,zone,date,CO
20,18.791111130814,98.97559377086888,urban,2024-03-27,NA
21,18.774102133565243,98.97559378912425,urban,2024-03-27,NA
22,18.75709067921216,98.97559378001435,urban,2024-03-27,NA
23,18.740078723392486,98.97559377995805,urban,2024-03-27,0.05731546451530904
24,18.723065253201693,98.97559377995931,urban,2024-03-27,0.05731546506284533
25,18.816623633573617,98.99115280259166,urban,2024-03-27,NA
26,18.799616630104307,98.99115281170437,urban,2024-03-27,NA
27,18.782607636523494,98.9911528025845,urban,2024-03-27,NA
28,18.765598139329224,98.99115280251972,urban,2024-03-27,NA
29,18.791111125802086,99.00671258026475,urban,2024-03-27,NA
30,18.774102141283294,99.00671259850732,urban,2024-03-27,NA
1,18.74007870120448,98.91335808785006,urban,2024-03-28,NA
2,18.76559811840203,98.92891589958906,urban,2024-03-28,0.0524915891627653
3,18.7485846663651,98.9289158995633,urban,2024-03-28,NA
4,18.731571228912202,98.92891589956444,urban,2024-03-28,NA
5,18.791111128265864,98.94447493992463,urban,2024-03-28,0.056052107180066466
6,18.77410214222722,98.94447494902433,urban,2024-03-28,0.05347729816084478
7,18.757090678745303,98.94447493990828,urban,2024-03-28,0.052491590550437624
8,18.74007871834797,98.94447493987954,urban,2024-03-28,0.052391155981842956
9,18.723065258432655,98.94447493075144,urban,2024-03-28,0.05192233507690306
10,18.83362866444315,98.96003473115987,urban,2024-03-28,0.05611867857890994
11,18.816623631248998,98.96003473117173,urban,2024-03-28,0.05611867830156048
12,18.799616617653914,98.96003474023692,urban,2024-03-28,0.05611625197462796
13,18.7826076136698,98.96003473112485,urban,2024-03-28,0.05425892848238764
14,18.76559810565482,98.96003473107459,urban,2024-03-28,0.05249159038067459
15,18.748584661185397,98.96003473109663,urban,2024-03-28,0.05249099908588476
16,18.731571231481407,98.96003473112006,urban,2024-03-28,0.05184052695039631
17,18.84213017229777,98.97559378002752,urban,2024-03-28,0.05611867813717246
18,18.82512516247161,98.9755937800094,urban,2024-03-28,0.05611867830160245
19,18.808118649028923,98.97559378000697,urban,2024-03-28,0.056118678301618284
20,18.791111130814,98.97559377086888,urban,2024-03-28,0.05543611278976351
21,18.774102133565243,98.97559378912425,urban,2024-03-28,0.05249302438573766
22,18.75709067921216,98.97559378001435,urban,2024-03-28,0.05249159038064539
23,18.740078723392486,98.97559377995805,urban,2024-03-28,0.0520576537445948
24,18.723065253201693,98.97559377995931,urban,2024-03-28,0.05140136644799118
25,18.816623633573617,98.99115280259166,urban,2024-03-28,0.05629487051071684
26,18.799616630104307,98.99115281170437,urban,2024-03-28,0.0560107759395231
27,18.782607636523494,98.9911528025845,urban,2024-03-28,0.053113376827962064
28,18.765598139329224,98.99115280251972,urban,2024-03-28,0.05249159038066008
29,18.791111125802086,99.00671258026475,urban,2024-03-28,0.0570982640470654
30,18.774102141283294,99.00671259850732,urban,2024-03-28,0.05379191396898839
1,18.74007870120448,98.91335808785006,urban,2024-03-29,0.0533973795739969
2,18.76559811840203,98.92891589958906,urban,2024-03-29,0.05339737981557847
3,18.7485846663651,98.9289158995633,urban,2024-03-29,0.0533973792805808
4,18.731571228912202,98.92891589956444,urban,2024-03-29,0.053397379231548185
5,18.791111128265864,98.94447493992463,urban,2024-03-29,0.053397379815583554
6,18.77410214222722,98.94447494902433,urban,2024-03-29,0.05339737981559057
7,18.757090678745303,98.94447493990828,urban,2024-03-29,0.053397379273446906
8,18.74007871834797,98.94447493987954,urban,2024-03-29,0.053397379488919115
9,18.723065258432655,98.94447493075144,urban,2024-03-29,NA
10,18.83362866444315,98.96003473115987,urban,2024-03-29,0.05260182172058649
11,18.816623631248998,98.96003473117173,urban,2024-03-29,0.05281095126109769
12,18.799616617653914,98.96003474023692,urban,2024-03-29,0.053389801131672944
13,18.7826076136698,98.96003473112485,urban,2024-03-29,0.053397379815563396
14,18.76559810565482,98.96003473107459,urban,2024-03-29,0.05339737960565395
15,18.748584661185397,98.96003473109663,urban,2024-03-29,0.05339738053243035
16,18.731571231481407,98.96003473112006,urban,2024-03-29,NA
17,18.84213017229777,98.97559378002752,urban,2024-03-29,0.05260182193895305
18,18.82512516247161,98.9755937800094,urban,2024-03-29,0.0527539091718917
19,18.808118649028923,98.97559378000697,urban,2024-03-29,0.05336748070546603
20,18.791111130814,98.97559377086888,urban,2024-03-29,0.053397379816021696
21,18.774102133565243,98.97559378912425,urban,2024-03-29,0.053397379817687836
22,18.75709067921216,98.97559378001435,urban,2024-03-29,0.05339738021951158
23,18.740078723392486,98.97559377995805,urban,2024-03-29,NA
24,18.723065253201693,98.97559377995931,urban,2024-03-29,0.05425715561244637
25,18.816623633573617,98.99115280259166,urban,2024-03-29,0.05337647972185281
26,18.799616630104307,98.99115281170437,urban,2024-03-29,0.05339737940752307
27,18.782607636523494,98.9911528025845,urban,2024-03-29,0.05339737950838794
28,18.765598139329224,98.99115280251972,urban,2024-03-29,0.053397379187222434
29,18.791111125802086,99.00671258026475,urban,2024-03-29,0.05339737833526065
30,18.774102141283294,99.00671259850732,urban,2024-03-29,0.053397377821657786
1,18.74007870120448,98.91335808785006,urban,2024-03-30,0.07192580401897603
2,18.76559811840203,98.92891589958906,urban,2024-03-30,0.07194567545970021
3,18.7485846663651,98.9289158995633,urban,2024-03-30,0.0719258040189656
4,18.731571228912202,98.92891589956444,urban,2024-03-30,0.07109042057732111
5,18.791111128265864,98.94447493992463,urban,2024-03-30,0.07280680982692905
6,18.77410214222722,98.94447494902433,urban,2024-03-30,0.07192580401898775
7,18.757090678745303,98.94447493990828,urban,2024-03-30,0.0719258040189768
8,18.74007871834797,98.94447493987954,urban,2024-03-30,0.07126073288775264
9,18.723065258432655,98.94447493075144,urban,2024-03-30,0.06971351458234336
10,18.83362866444315,98.96003473115987,urban,2024-03-30,0.07493373751640867
11,18.816623631248998,98.96003473117173,urban,2024-03-30,0.07488799940437857
12,18.799616617653914,98.96003474023692,urban,2024-03-30,0.07303094016258566
13,18.7826076136698,98.96003473112485,urban,2024-03-30,0.07192580401898617
14,18.76559810565482,98.96003473107459,urban,2024-03-30,0.07192580401898899
15,18.748584661185397,98.96003473109663,urban,2024-03-30,0.07139758498047533
16,18.731571231481407,98.96003473112006,urban,2024-03-30,0.06970341823654048
17,18.84213017229777,98.97559378002752,urban,2024-03-30,0.07500677787126571
