                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.0057,                 1.9228,                 1.3504,                 1.1136,                0.96145,                0.42017,                 0.4356,                0.27808,                0.91691,                0.37572,                0.40474,                0.25785,                 1.5964,                0.42829,                 5.8157,                 1.0267,             0.00036054,             0.00036054,             0.00036054
                     54,                 1.0856,                 2.1715,                 1.3279,                 1.2096,                0.72824,                0.19444,                0.20652,                0.14199,                0.72824,                0.19444,                0.20812,                0.13171,                 1.5369,                0.40552,                 5.6752,                 1.0136,             0.00035998,             0.00035998,             0.00035998
                     55,                 1.0194,                 2.1453,                 1.3168,                 1.1312,                0.94705,                0.41399,                0.43946,                 0.2681,                0.88354,                0.37353,                0.39695,                0.27068,                 1.5369,                0.40552,                 5.6752,                 1.0136,             0.00035913,             0.00035913,             0.00035913
                     56,                0.91188,                 1.9806,                 1.1762,                 1.1291,                0.89851,                0.42686,                0.56907,                0.34805,                0.84824,                0.38736,                0.54123,                0.36943,                 1.5369,                0.40552,                 5.6752,                 1.0136,               0.000358,               0.000358,               0.000358
                     57,                0.91765,                 1.8842,                 1.2509,                 1.0755,                0.68018,                0.19444,                0.21209,                0.13866,                0.68018,                0.19444,                0.21209,                0.13936,                 1.4978,                0.39371,                 5.4939,                 1.0029,             0.00035659,             0.00035659,             0.00035659
                     58,                 1.0333,                 1.7823,                 1.2366,                 1.1692,                0.91253,                 0.4123,                0.43607,                 0.2661,                 0.8625,                0.37247,                0.38385,                0.27605,                 1.4978,                0.39371,                 5.4939,                 1.0029,             0.00035489,             0.00035489,             0.00035489
                     59,                0.98307,                 1.8103,                 1.2755,                 1.1776,                0.68018,                0.19444,                0.21209,                0.13866,                0.68018,                0.19444,                0.21209,                0.13936,                 1.4978,                0.39371,                 5.4939,                 1.0029,             0.00035291,             0.00035291,             0.00035291
                     60,                 1.0245,                 1.8176,                 1.3493,                 1.1426,                0.72512,                0.19444,                0.21882,                0.14332,                0.72512,                0.19444,                0.21882,                0.13775,                 1.4927,                0.40517,                 5.5024,                 1.0306,             0.00035065,             0.00035065,             0.00035065
                     61,                0.91622,                 1.7976,                 1.2782,                 1.0607,                0.89515,                0.41991,                0.43473,                0.24489,                0.84914,                0.37959,                0.37196,                0.26104,                 1.4927,                0.40517,                 5.5024,                 1.0306,              0.0003481,              0.0003481,              0.0003481
                     62,                0.92143,                 1.9714,                 1.2255,                  1.085,                0.87857,                0.47485,                0.57807,                0.32085,                0.88396,                0.53675,                0.53776,                0.36127,                 1.4927,                0.40517,                 5.5024,                 1.0306,             0.00034528,             0.00034528,             0.00034528
                     63,                 1.0263,                 2.2094,                 1.2376,                 1.1528,                0.77603,                0.19444,                0.22333,                0.14763,                0.77603,                0.19444,                0.22011,                0.13718,                 1.4526,                0.41569,                 5.6744,                 1.0371,             0.00034217,             0.00034217,             0.00034217
                     64,                0.91685,                 2.0588,                 1.2485,                 1.1302,                0.89245,                0.42012,                0.42961,                0.25627,                 0.8356,                0.38889,                0.38994,                0.26294,                 1.4526,                0.41569,                 5.6744,                 1.0371,             0.00033877,             0.00033877,             0.00033877
                     65,                0.95688,                 1.8944,                 1.1641,                 1.0816,                0.86145,                 0.4976,                0.56917,                0.32533,                0.82635,                 0.4825,                0.52271,                0.35636,                 1.4526,                0.41569,                 5.6744,                 1.0371,             0.00033509,             0.00033509,             0.00033509
